"Station","WRapA (kg)","Tara A (kg)","WRapD(kg)","Tara D (kg)","CodBenthos","WBenthos(kg)","Notes Benthos","Litter","Litter(kg)","Notes","Notes shells"
"48","176","130",174,"130","157 rosso","12","haul sample","resto del litter (da considerare nel rf) nel sacco del benthos",NA,"commerciale rap A: sacco cod 56 rosso. Litter: molte retine da cozze e guadino impigliati nei denti che non contribuiscono al peso della saccata (non considerare nel calcolo del rf). Vedi foto a bordo. Retine da cozze: peso tot 1 kg, lunghezza 20 m, cozze pelose e ostriche attaccate. Guadino (retino da pesca) peso 1,3 kg, pocheti attaccati.","murici da stimare dal benthos per entrambi i rapidi"
"49","10","no",12,"no","341 bianco","6.6","benthos di tutta la saccata","nel sacchetto del benthos",NA,NA,NA
"5","400","130",410,"130","524 nero","8","haul sample","nel sacco del benthos",NA,NA,"haul sample per stima murici per entrambi i rapidi da benthos rap D"
"50","16",NA,11,NA,"515 nero","8.5","preso. tutto il benthos","litter nel sacco",NA,NA,NA
"51","188","100",220,"100","339 bianco","5.7","haul sample","nel sacco del benthos",NA,NA,"MUREBRA totali: rap D n. 119 peso 2,8 kg; rap A n. 144 peso 3,1 kg"
"53","248","100",510,"100","65 rosso","9","haul sample. Preso altro campione per esercitazione tirocinanti: codice 485 nero","nel sacchetto del benthos",NA,NA,NA
"54","19.9","0",10.9,"0","69 rosso","3.5","case benthos discard e litter da rapido A in quanto il D ha pescato male per presenza di cavo d acciaio impigliato sulla bocca del rapido","litter nel sacco del benthos ad eccezione di un mattone di 1,9 kg che non è stato portato in laboratorio",NA,NA,NA
"55","49","no",30,"no","595 nero","8.5","haul sample","nel sacco del benthos",NA,NA,"haul sample: rap D 8,5 kg cod 595 nero; rap A 5 kg cod 463 nero"
"56","260","100",256,"100","150 rosso","7.7","haul sample","nel sacchetto del benthos",NA,NA,"MUREBRA totali: rap D cod 102 rosso 4 kg; rap A cod 42 rosso 5,5 kg"
"57","220","120",176,"124","475 nero - 96 rosso","6.4","haul sample, per sicurezza messo un altro piastrino","nel sacco del benthos",NA,NA,NA
"58","95","no",90,"no","181 rosso","5.6","haul sample","nel sacchetto del benthos",NA,NA,NA
"59","200","94",230,"110","58 rosso","6.1","case benthos murebra e hextrun sorted from total catch no need of sub sample","litter nel sacco benthos",NA,NA,NA
"6","328","100",320,"100","278 bianco","5.5","haul sample","nel sacco del benthos",NA,NA,NA
"60","570","120",730,"120","378 bianco","8.2","haul sample. Campione ulteriore per esercitazione tirocinanti cod 41 rosso","nel sacchetto del benthos",NA,NA,"rap A: 529 nero canestrelli e capesante totali"
"61","126","112",136,"112","447 nero","3.6","case benthos","litter nel sacco benthos",NA,NA,NA
"62","134","92",106,"68","124 rosso","4.7","case benthos","litter sacco benthos",NA,NA,NA
"63","368","124",212,"110","431 nero","8.7","benthos","litter nel sacco discard",NA,NA,"murebra e hexatru da stimate scarto ostrea e rapana prese tutte nel commerciale da non considerarsi nel subsample del discard"
"64","18.1","0",25.5,"0","5 rosso","4.2","case benthos","reste cozze datta foto 4 metri","0.8","litter non portata in lab","murebra hexatru e rapana presi tutti nel commerciale"
"65","220","122",156,"96","106 rosso","7.5","benthos",NA,NA,NA,"murebra e hexatru da stimare dal subsample benthos"
"66","308","100",816,"150","281 bianco","9.5","sample benthos haul","nel sacco del benthos",NA,NA,"rapA: 516 nero sacco conchiglie totali. rapD:  219 bianco canestrelli totali; 50 rosso raguse totali; 537 nero ostriche totali. Abbondanza ostriche."
"67","154","100",21.7,"no","337 bianco","4.8","haul sample. Peso campione benthos senza commerciale e dopo risciacquo 3,7 kg (per cfr due approcci)","no litter",NA,"pesata saccata rap D con coffe; pesata saccata rap A con dinamometro",NA
"68","430","94",490,"108","122 rosso","7","Case haul","litter nel sacco discard",NA,NA,"MUREBRA contati e pesati a bordo"
"69","29.2",NA,23.2,NA,"452 nero","3.7","case benthos","Litter nel sacco benthos",NA,NA,NA
"70","14.5",NA,12,NA,"84 rosso","5.6","case benthos","Litter nel sacco del benthos",NA,NA,NA
"71","5.6",NA,8.5,NA,"129 rosso","2.5","Prelevato tutto il benthos presenzadi brissopsis","litter nel sacco del benthos",NA,NA,NA
"72","224","104",224,"112","158 rosso","4.5","Case benthos","Litter nel sacco del discard Foto di un filtro della nafta circa 2 kg non messo in sacchetto perché  puzzava",NA,NA,NA
"73","19",NA,32,NA,"248 bianco","4","Case benthos","Litter nel sacco",NA,NA,NA
"74","13",NA,23,NA,"538 nero","6","Case benthos","litter nel sacco",NA,NA,NA
"75","22",NA,16.5,NA,"Case benthos","2",NA,"litter nel sacco",NA,NA,NA
"76","21",NA,8,NA,"382 bianco","2.5","case benthos","liter nel sacco",NA,NA,NA
"8","190","130",200,"154","345 bianco","9","case haul murebra rapane e hexatru stimati dal benthos per entrambi i rapidi","litter nel sacco discard",NA,NA,NA
"9","146","78",170,"92","156 rosso","5.6","haul sample","nel sacchetto del benthos",NA,"code 62 rosso Solecurtus sp campione Laura S.",NA
